Data;Output
Включи компьютер  переведи звук на HDMI  увеличь громкость системы  убавь браузер и сделай подсветку фиолетовой  Пока я пил чай  заметил  что кошка подошла к столу ;3 3 2 2 2 2 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость Телеграмма  убавь системный звук и переведи аудио на наушники  Кстати  окно слегка приоткрыто  прохладно ;4 4 4 4 4 4 4 1 1 1 1 1 1 0 2 2 2 2 0 0 0 0 0
Поставь громкость системы на 60  увеличь Дискорд до 70  убавь Телеграмм и включи подсветку мягкого зелёного цвета  Пока я проверял сообщения  вспомнил про завтрак ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0        
Переведи звук на Bluetooth-наушники  убавь громкость в браузере  увеличь системный уровень и сделай подсветку на белый цвет  Пока я пил воду  подумал о письме ;2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0        
Включи компьютер  установи громкость Телеграмма на 80  убавь системный звук  переведи аудио на HDMI и активируй подсветку на тёплый жёлтый  Пока я смотрел на экран  заметил пролетающего голубя ;3 3 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0 0
Сделай так  чтобы подсветка меняла цвета  увеличь громкость системы  переведи звук в Дискорде на 50 и убавь браузер  Кошка тихо спит на подоконнике ;4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0
Поставь громкость системы на 50  увеличь звук в Дискорде до 60  убавь Телеграмм и активируй плавное свечение подсветки  Пока я пил чай  подумал про письмо ;1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0 0      
Переведи звук на HDMI  убавь громкость браузера  увеличь системный уровень и включи подсветку фиолетового оттенка  Кошка тихо спит рядом на кресле ;2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0
Сделай так  чтобы компьютер вошёл в спящий режим после уменьшения громкости Телеграмма  переведи аудио на Bluetooth и установи подсветку на мягкий голубой цвет  Пока я смотрел на экран  услышал шум за окном ;3 3 3 3 3 3 3 3 0 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0
Включи компьютер  переведи звук на внешние колонки  увеличь громкость системы  убавь браузер и активируй подсветку на белый цвет  Кстати  чай остывает на столе ;3 3 2 2 2 2 2 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0
